LEI,Date,Total_Capital,CET1_Capital,Tier1_Capital,RWA_Total,Net_Income,Leverage_Exposure,Total_Assets,Loans_Gross,Provisions_Stock,NPL_Amount,NPL_Ratio,RWA_Final,CVA_Charge,RWA_CVA_Addon,AT1_Capital,Tier2_Capital,CET1_Ratio_Pct,Tier1_Ratio_Pct,TCR_Pct,CAR_Pct,Leverage_Ratio_Pct,P2R_Pct,P2G_Pct,CBR_Pct,SREP_Requirement_Pct,Capital_Buffer_Pct,LTD_Ratio_Pct,LCR_Ratio_Pct,NSFR_Ratio_Pct,Texas_Ratio_Pct,NPL_Ratio_Pct,Risk_Exposure_Amount,MREL_Ratio_Pct,TLAC_Ratio_Pct,ROA_Pct,ROE_Pct
2W8N8UU78PMDQKZENC08,202506,57226.973307,40017.995909,47685.556563,308507.602135,5233.741745,823750.705871,770518.393645,955061.409512,13345.731671,0.0,0.0,309065.5851426536,44.63864061228755,557.9830076535944,7667.560654000001,9541.416744000002,12.948059516406243,15.428944164388298,18.516126045087187,18.516126045087187,5.788833469050477,2.0,1.0,2.5,12.5,6.016126045087187,206.58416839646625,249.99999999999994,39.539066909078166,0.0,0.0,309065.5851426536,55.91199430178857,55.91199430178857,0.6792494232670241,10.9755282778034
391200EEGLNXBBCVKC73,202506,4143.00278617,3949.53047051,3949.53047051,16081.46435709,113.85598997,46505.06938902,46912.89190614,62800.15999404,564.4942024300001,0.0,0.0,16112.96543903613,2.5200865556903698,31.50108194612962,0.0,193.47231565999982,24.511505876762183,24.511505876762183,25.712230326845614,25.712230326845614,8.492688049708615,2.0,1.0,2.5,12.5,13.212230326845614,223.1091051321462,249.99999999999994,38.36188917855853,0.0,0.0,16112.96543903613,69.38472383864169,69.38472383864169,0.24269659222414813,2.882772795909025
3H0Q3U74FVFED2SHZT16,202506,2770.0871774137,2388.71880555777,2388.71880555777,13021.148034012,145.440267236118,33146.9153838819,31704.6307068284,36839.39923662079,1311.359728176586,0.0,0.0,13043.60071952537,1.7962148410695522,22.452685513369403,0.0,381.36837185593004,18.313338907883182,18.313338907883182,21.237135642055268,21.237135642055268,7.206458814925851,2.0,1.0,2.5,12.5,8.737135642055268,193.65940355986382,249.99999999999994,42.17162811850776,0.0,0.0,13043.60071952537,57.69711865046885,57.69711865046885,0.4587350932455231,6.088630729482512
3M5E1GQGKL17HI6CPN30,202506,6888.48930838505,5206.97062206704,5866.45671242611,32017.9906420096,340.058543840555,108774.304184079,102776.303053009,158605.10660808603,824.546984063583,0.0,0.0,32091.670959333132,5.894425385882619,73.68031732353273,659.4860903590707,1022.03259595894,16.225302286893573,18.28030930474184,21.46503781967043,21.46503781967043,5.393237636802799,2.0,1.0,2.5,12.5,8.965037819670432,257.2011606707339,250.0,33.505294284123124,0.0,0.0,32091.670959333132,69.50381235866908,69.50381235866908,0.33087251996713946,5.796659900690234
485100FX5Y9YLAQLNP12,202506,1297.155363,1297.155363,1297.155363,4141.118223,102.923,26581.814,27385.3809992426,14532.41080409,144.58169743,0.0,0.0,4159.123913822354,1.4404552657882548,18.005690822353184,0.0,0.0,31.18818746152425,31.18818746152425,31.18818746152425,31.18818746152425,4.879860204423973,2.0,1.0,2.5,12.5,18.68818746152425,88.44384773815345,250.0,61.75892907228503,0.0,0.0,4159.123913822354,129.9543515624442,129.9543515624442,0.37583190828291396,7.934516013715158
5299007QVIQ7IO64NX37,202506,3595.24010998,2995.24010998,3595.24010998,14625.21781073,28.65514799,61705.69567815,61062.88870446,38877.25771444,30.77335895,0.0,0.0,14667.015322305357,3.3438009260285524,41.79751157535691,600.0,0.0,20.42160619703511,24.512418041265814,24.512418041265814,24.512418041265814,5.826431531916227,2.0,1.0,2.5,12.5,12.012418041265814,106.11261749779297,250.0,57.51944064343405,0.0,0.0,14667.015322305357,86.9616151300524,86.9616151300524,0.046927272190951955,0.7970301596952145
5299007S3UH5RKUYDA52,202506,3220.97951548,2997.79413298,2997.79413298,14531.593379,,53471.25672841,,,,,0.0,14567.813138740039,2.8975807792031745,36.21975974003968,0.0,223.18538249999983,20.578202812115954,20.578202812115954,22.11024732953556,22.11024732953556,5.606365581056619,2.0,1.0,2.5,12.5,9.61024732953556,,,,0.0,,14567.813138740039,,,,
529900GGYMNGRQTDOO93,202506,4612.43918284,4303.13918284,4612.43918284,10743.63108205,141.58098288,47656.47175003,132223.99305378,205115.50113943,97.11938748,0.0,0.0,10775.912088004494,2.5824804763595113,32.28100595449389,309.3000000000002,0.0,39.93294625733036,42.80323693411034,42.80323693411034,42.80323693411034,9.678515873003327,2.0,1.0,2.5,12.5,30.303236934110338,258.5454883567697,250.0,31.611636406579386,0.0,0.0,10775.912088004494,226.85818092484058,226.85818092484058,0.10707662021855156,3.069546876774749
529900GM944JT8YIRL63,202506,2437.79433031,1843.99555424,2067.96795181,9767.15739889,,55832.07486283,,,,,0.0,9804.976303120937,3.0255123384750013,37.81890423093751,223.9723975700001,369.8263784999999,18.806731370202844,21.091004076692805,24.862827353637222,24.862827353637222,3.7039066824771405,2.0,1.0,2.5,12.5,12.362827353637222,,,,0.0,,9804.976303120937,,,,
529900HEKOENJHPNN480,202506,1653.97319417,1653.97319417,1653.97319417,1850.6297572,62.36604366,14474.6347251114,55175.17811006,82504.40869124,6.60906178,0.0,0.0,1860.4344228118673,0.784373248949385,9.804665611867312,0.0,0.0,88.9025258772722,88.9025258772722,88.9025258772722,88.9025258772722,11.426700746379426,2.0,1.0,2.5,12.5,76.4025258772722,249.21958121175845,250.0,32.18353298793687,0.0,0.0,1860.4344228118673,533.759738527649,533.759738527649,0.11303279082415668,3.7706804366498003
